Name,Symbol,Mass,Abund.,Price per kg,Source / Details,,,,,,,
Selenium,Se(74),73.922477,0.9,,,,,,,,,
Arsenic,As(75),74.921596,100,,,,,,,,,
Selenium,Se(76),75.919207,9,,,,,,,,,
Germanium,Ge(76),75.921403,7.8,,,,,,,,,
Selenium,Se(77),76.919908,7.6,,,,,,,,,
Selenium,Se(78),77.917304,23.5,,,,,,,,,
Krypton,Kr(78),77.920397,0.35,,,,,,,,,
Bromine,Br(79),78.918336,50.69,,,,,,,,,
Krypton,Kr(80),79.916375,2.25,,,,,,,,,
Selenium,Se(80),79.916521,49.6,,,,,,,,,
Bromine,Br(81),80.91629,49.31,,,,,,,,,
Krypton,Kr(82),81.913483,11.6,,,,,,,,,
Selenium,Se(82),81.916709,9.4,,,,,,,,,
Krypton,Kr(83),82.914134,11.5,,,,,,,,,
Krypton,Kr(84),83.911506,57,,,,,,,,,
Strontium,Sr(84),83.913428,0.56,,,,,,,,,
Rubidium,Rb(85),84.9118,72.17,,,,,,,,,
Strontium,Sr(86),85.909273,9.86,,,,,,,,,
Krypton,Kr(86),85.910614,17.3,,,,,,,,,
Strontium,Sr(87),86.908902,7,,,,,,,,,
Rubidium,Rb(87),86.909184,27.84,,,,,,,,,
Strontium,Sr(88),87.905625,82.58,,,,,,,,,
Yttrium,Y(89),88.905856,100,,,,,,,,,
Zirconium,Zr(90),89.904708,51.45,,,,,,,,,
Zirconium,Zr(91),90.905644,11.27,,,,,,,,,
Zirconium,Zr(92),91.905039,17.17,,,,,,,,,
Molybdenum,Mo(92),91.906809,14.84,,,,,,,,,
Niobium,Nb(93),92.906378,100,,,,,,,,,
Molybdenum,Mo(94),93.905086,9.25,,,,,,,,,
Zirconium,Zr(94),93.906319,17.33,,,,,,,,,
Molybdenum,Mo(95),94.905838,15.92,,,,,,,,,
Molybdenum,Mo(96),95.904676,16.68,,,,,,,,,
Ruthenium,Ru(96),95.907596,5.52,,,,,,,,,
Zirconium,Zr(96),95.908272,2.78,,,,,,,,,
Molybdenum,Mo(97),96.906018,9.55,,,,,,,,,
Ruthenium,Ru(98),97.905287,1.88,,,,,,,,,
Molybdenum,Mo(98),97.905405,24.13,,,,,,,,,
Ruthenium,Ru(99),98.905937,12.7,,,,,,,,,
Ruthenium,Ru(100),99.904218,12.6,,,,,,,,,
Molybdenum,Mo(100),99.907473,9.63,,,,,,,,,
Ruthenium,Ru(101),100.905581,17,,,,,,,,,
Ruthenium,Ru(102),101.904348,31.6,,,,,,,,,
Palladium,Pd(102),101.905609,1.02,,,,,,,,,
Rhodium,Rh(103),102.905503,100,,,,,,,,,
Palladium,Pd(104),103.904026,11.14,,,,,,,,,
Ruthenium,Ru(104),103.905422,18.7,,,,,,,,,
Palladium,Pd(105),104.905075,22.33,,,,,,,,,
Palladium,Pd(106),105.903475,27.33,,,,,,,,,
Cadmium,Cd(106),105.906461,1.25,,,,,,,,,
Silver,Ag(107),106.905095,51.84,,,,,,,,,
Palladium,Pd(108),107.903894,26.46,,,,,,,,,
Cadmium,Cd(108),107.904186,0.89,,,,,,,,,
Silver,Ag(109),108.904754,48.16,,,,,,,,,
Cadmium,Cd(110),109.903007,12.49,,,,,,,,,
Palladium,Pd(110),109.905169,11.72,,,,,,,,,
Cadmium,Cd(111),110.904182,12.8,,,,,,,,,
Cadmium,Cd(112),111.902761,24.13,,,,,,,,,
Tin,Sn(112),111.904826,0.97,,,,,,,,,
Indium,In(113),112.904056,4.3,,,,,,,,,
Cadmium,Cd(113),112.904401,12.22,,,,,,,,,
Tin,Sn(114),113.902784,0.65,,,,,,,,,
Cadmium,Cd(114),113.903361,28.73,,,,,,,,,
Tin,Sn(115),114.903348,0.36,,,,,,,,,
Indium,In(115),114.903875,95.7,,,,,,,,,
Tin,Sn(116),115.901744,14.7,,,,,,,,,
Cadmium,Cd(116),115.904758,7.49,,,,,,,,,
Tin,Sn(117),116.902954,7.7,,,,,,,,,
Tin,Sn(118),117.901607,24.3,,,,,,,,,
Tin,Sn(119),118.90331,8.6,,,,,,,,,
Tin,Sn(120),119.902199,32.4,,,,,,,,,
Tellurium,Te(120),119.904021,0.096,,,,,,,,,
Antimony,Sb(121),120.903824,57.3,,,,,,,,,
Tellurium,Te(122),121.903055,2.6,,,,,,,,,
Tin,Sn(122),121.90344,4.6,,,,,,,,,
Antimony,Sb(123),122.904222,42.7,,,,,,,,,
Tellurium,Te(123),122.904278,0.91,,,,,,,,,
Tellurium,Te(124),123.902825,4.82,,,,,,,,,
Tin,Sn(124),123.905271,5.6,,,,,,,,,
Xenon,Xe(124),123.905894,0.1,,,,,,,,,
Tellurium,Te(125),124.904435,7.14,,,,,,,,,
Tellurium,Te(126),125.90331,18.95,,,,,,,,,
Xenon,Xe(126),125.904281,0.09,,,,,,,,,
Iodine,I(127),126.904477,100,,,,,,,,,
Xenon,Xe(128),127.903531,1.91,,,,,,,,,
Tellurium,Te(128),127.904464,31.69,,,,,,,,,
Xenon,Xe(129),128.90478,26.4,,,,,,,,,
Xenon,Xe(130),129.90351,4.1,,,,,,,,,
Tellurium,Te(130),129.906229,33.8,,,,,,,,,
Barium,Ba(130),129.906277,0.11,,,,,,,,,
Xenon,Xe(131),130.905076,21.2,,,,,,,,,
Xenon,Xe(132),131.904148,26.9,,,,,,,,,
Barium,Ba(132),131.905042,0.1,,,,,,,,,
Cesium,Cs(133),132.905433,100,,,,,,,,,
Barium,Ba(134),133.90449,2.42,,,,,,,,,
Xenon,Xe(134),133.905395,10.4,,,,,,,,,
Barium,Ba(135),134.905668,6.59,,,,,,,,,
Barium,Ba(136),135.904556,7.85,,,,,,,,,
Cerium,Ce(136),135.90714,0.19,,,,,,,,,
Xenon,Xe(136),135.907219,8.9,,,,,,,,,
Barium,Ba(137),136.905816,11.23,,,,,,,,,
Barium,Ba(138),137.905236,71.7,,,,,,,,,
Cerium,Ce(138),137.905996,0.25,,,,,,,,,
Lanthanum,La(138),137.907114,0.09,,,,,,,,,
Lanthanum,La(139),138.906355,99.91,,,,,,,,,
Cerium,Ce(140),139.905442,88.48,,,,,,,,,
Praseodymium,Pr(141),140.907657,100,,,,,,,,,
Neodymium,Nd(142),141.907731,27.13,,,,,,,,,
Cerium,Ce(142),141.909249,11.08,,,,,,,,,
Neodymium,Nd(143),142.909823,12.18,,,,,,,,,
Neodymium,Nd(144),143.910096,23.8,,,,,,,,,
Samarium,Sm(144),143.912009,3.1,,,,,,,,,
Neodymium,Nd(145),144.912582,8.3,,,,,,,,,
Neodymium,Nd(146),145.913126,17.19,,,,,,,,,
Samarium,Sm(147),146.914907,15,,,,,,,,,
Samarium,Sm(148),147.914832,11.3,,,,,,,,,
Neodymium,Nd(148),147.916901,5.76,,,,,,,,,
Samarium,Sm(149),148.917193,13.8,,,,,,,,,
Samarium,Sm(150),149.917285,7.4,,,,,,,,,
Neodymium,Nd(150),149.9209,5.64,,,,,,,,,
Europium,Eu(151),150.91986,47.8,,,,,,,,,
Samarium,Sm(152),151.919741,26.7,,,,,,,,,
Gadolinium,Gd(152),151.919803,0.2,,,,,,,,,
Europium,Eu(153),152.921243,52.2,,,,,,,,,
Gadolinium,Gd(154),153.920876,2.18,,,,,,,,,
Samarium,Sm(154),153.922218,22.7,,,,,,,,,
Gadolinium,Gd(155),154.822629,14.8,,,,,,,,,
Gadolinium,Gd(156),155.92213,20.47,,,,,,,,,
Dysprosium,Dy(156),155.924287,0.06,,,,,,,,,
Gadolinium,Gd(157),156.923967,15.65,,,,,,,,,
Gadolinium,Gd(158),157.924111,24.84,,,,,,,,,
Dysprosium,Dy(158),157.924412,0.1,,,,,,,,,
Terbium,Tb(159),158.92535,100,,,,,,,,,
Dysprosium,Dy(160),159.925203,2.34,,,,,,,,,
Gadolinium,Gd(160),159.927061,21.86,,,,,,,,,
Dysprosium,Dy(161),160.926939,18.9,,,,,,,,,
Dysprosium,Dy(162),161.926805,25.5,,,,,,,,,
Erbium,Er(162),161.928787,0.14,,,,,,,,,
Dysprosium,Dy(163),162.928737,24.9,,,,,,,,,
Dysprosium,Dy(164),163.929183,28.2,,,,,,,,,
Erbium,Er(164),163.929211,1.61,,,,,,,,,
Holmium,Ho(165),164.930332,100,,,,,,,,,
Erbium,Er(166),165.930305,33.6,,,,,,,,,
Erbium,Er(167),166.932061,22.95,,,,,,,,,
Erbium,Er(168),167.932383,26.8,,,,,,,,,
Ytterbium,Yb(168),167.933908,0.13,,,,,,,,,
Thulium,Tm(169),168.934225,100,,,,,,,,,
Ytterbium,Yb(170),169.934774,3.05,,,,,,,,,
Erbium,Er(170),169.935476,14.9,,,,,,,,,
Ytterbium,Yb(171),170.936338,14.3,,,,,,,,,
Ytterbium,Yb(172),171.936393,21.9,,,,,,,,,
Ytterbium,Yb(173),172.938222,16.12,,,,,,,,,
Ytterbium,Yb(174),173.938873,31.8,,,,,,,,,
Hafnium,Hf(174),173.940065,0.16,,,,,,,,,
Lutetium,Lu(175),174.940785,97.4,,,,,,,,,
Hafnium,Hf(176),175.94142,5.2,,,,,,,,,
Ytterbium,Yb(176),175.942576,12.7,,,,,,,,,
Lutetium,Lu(176),175.942694,2.6,,,,,,,,,
Hafnium,Hf(177),176.943233,18.6,,,,,,,,,
Hafnium,Hf(178),177.94371,27.1,,,,,,,,,
Hafnium,Hf(179),178.945827,13.74,,,,,,,,,
Hafnium,Hf(180),179.946561,35.2,,,,,,,,,
Tungsten,W(180),179.946727,0.13,,,,,,,,,
Tantalum,Ta(180),179.947489,0.012,,,,,,,,,
Tantalum,Ta(181),180.948014,99.99,,,,,,,,,
Tungsten,W(182),181.948225,26.3,,,,,,,,,
Tungsten,W(183),182.950245,14.3,,,,,,,,,
Tungsten,W(184),183.950953,30.67,,,,,,,,,
Osmium,Os(184),183.952514,0.02,,,,,,,,,
Rhenium,Re(185),184.952977,37.4,,,,,,,,,
Osmium,Os(186),185.953852,1.58,,,,,,,,,
Tungsten,W(186),185.954377,28.6,,,,,,,,,
Osmium,Os(187),186.955762,1.6,,,,,,,,,
Rhenium,Re(187),186.955765,62.6,,,,,,,,,
Osmium,Os(188),187.95585,13.3,,,,,,,,,
Osmium,Os(189),188.958156,16.1,,,,,,,,,
Osmium,Os(190),189.958455,26.4,,,,,,,,,
Platinum,Pt(190),189.959937,0.01,,,,,,,,,
Iridium,Ir(191),190.960603,37.3,,,,,,,,,
Platinum,Pt(192),191.961049,0.79,,,,,,,,,
Osmium,Os(192),191.961487,41,,,,,,,,,
Iridium,Ir(193),192.962942,62.7,,,,,,,,,
Platinum,Pt(194),193.962679,32.9,,,,,,,,,
Platinum,Pt(195),194.964785,33.8,,,,,,,,,
Platinum,Pt(196),195.964947,25.3,,,,,,,,,
Mercury,Hg(196),195.965812,0.15,,,,,,,,,
Gold,Au(197),196.96656,100,,,,,,,,,
Mercury,Hg(198),197.96676,10.1,,,,,,,,,
Platinum,Pt(198),197.967879,7.2,,,,,,,,,
Mercury,Hg(199),198.968269,17,,,,,,,,,
Mercury,Hg(200),199.968316,23.1,,,,,,,,,
Mercury,Hg(201),200.970293,13.2,,,,,,,,,
Mercury,Hg(202),201.970632,29.65,,,,,,,,,
Thallium,Tl(203),202.972336,29.52,,,,,,,,,
Lead,Pb(204),203.973037,1.4,,,,,,,,,
Mercury,Hg(204),203.973481,6.8,,,,,,,,,
Thallium,Tl(205),204.97441,70.48,,,,,,,,,
Lead,Pb(206),205.974455,24.1,,,,,,,,,
Lead,Pb(207),206.975885,22.1,,,,,,,,,
Lead,Pb(208),207.976641,52.4,,,,,,,,,
Bismuth,Bi(209),208.980388,100,,,,,,,,,
Thorium,Th(232),232.038054,100,,,,,,,,,
Uranium,U(234),234.040947,0.006,,,,,,,,,
Uranium,U(235),235.043925,0.72,,,,,,,,,
Uranium,U(238),238.050786,99.27,,,,,,,,,
,,,,,,,,,,,,
